"Species","Solvent","Concentration","Timepoint","Triplicate"
"Chlorella","Acetate",0,"Lag",1
"Chlorella","Acetate",0,"Lag",2
"Chlorella","Acetate",0,"Lag",3
"Chlorella","Acetate",0,"Log",1
"Chlorella","Acetate",0,"Log",2
"Chlorella","Acetate",0,"Log",3
"Chlorella","Acetate",0,"Stat",1
"Chlorella","Acetate",0,"Stat",2
"Chlorella","Acetate",0,"Stat",3
"Chlorella","Acetate",0.1,"Lag",1
"Chlorella","Acetate",0.1,"Lag",2
"Chlorella","Acetate",0.1,"Lag",3
"Chlorella","Acetate",0.1,"Log",1
"Chlorella","Acetate",0.1,"Log",2
"Chlorella","Acetate",0.1,"Log",3
"Chlorella","Acetate",0.1,"Stat",1
"Chlorella","Acetate",0.1,"Stat",2
"Chlorella","Acetate",0.1,"Stat",3
"Chlorella","Acetate",0.5,"Lag",1
"Chlorella","Acetate",0.5,"Lag",2
"Chlorella","Acetate",0.5,"Lag",3
"Chlorella","Acetate",0.5,"Log",1
"Chlorella","Acetate",0.5,"Log",2
"Chlorella","Acetate",0.5,"Log",3
"Chlorella","Acetate",0.5,"Stat",1
"Chlorella","Acetate",0.5,"Stat",2
"Chlorella","Acetate",0.5,"Stat",3
"Chlorella","Acetate",1,"Lag",1
"Chlorella","Acetate",1,"Lag",2
"Chlorella","Acetate",1,"Lag",3
"Chlorella","Acetate",1,"Log",1
"Chlorella","Acetate",1,"Log",2
"Chlorella","Acetate",1,"Log",3
"Chlorella","Acetate",1,"Stat",1
"Chlorella","Acetate",1,"Stat",2
"Chlorella","Acetate",1,"Stat",3
"Chlorella","Acetate",3,"Lag",1
"Chlorella","Acetate",3,"Lag",2
"Chlorella","Acetate",3,"Lag",3
"Chlorella","Acetate",3,"Log",1
"Chlorella","Acetate",3,"Log",2
"Chlorella","Acetate",3,"Log",3
"Chlorella","Acetate",3,"Stat",1
"Chlorella","Acetate",3,"Stat",2
"Chlorella","Acetate",3,"Stat",3
"Chlorella","Ethanol",0,"Lag",1
"Chlorella","Ethanol",0,"Lag",2
"Chlorella","Ethanol",0,"Lag",3
"Chlorella","Ethanol",0,"Log",1
"Chlorella","Ethanol",0,"Log",2
"Chlorella","Ethanol",0,"Log",3
"Chlorella","Ethanol",0,"Stat",1
"Chlorella","Ethanol",0,"Stat",2
"Chlorella","Ethanol",0,"Stat",3
"Chlorella","Ethanol",0.1,"Lag",1
"Chlorella","Ethanol",0.1,"Lag",2
"Chlorella","Ethanol",0.1,"Lag",3
"Chlorella","Ethanol",0.1,"Log",1
"Chlorella","Ethanol",0.1,"Log",2
"Chlorella","Ethanol",0.1,"Log",3
"Chlorella","Ethanol",0.1,"Stat",1
"Chlorella","Ethanol",0.1,"Stat",2
"Chlorella","Ethanol",0.1,"Stat",3
"Chlorella","Ethanol",0.5,"Lag",1
